equipo,ganados,empatados,perdidos,goles_favor,goles_contra,goles_favor_local,goles_contra_local,goles_favor_visitante,goles_contra_visitante,clas_general,ult_5
Cruz Azul,22,9,3,65,28,34,10,31,18,1,vveve
Toluca,21,9,4,79,38,49,16,30,22,2,vvvve
UANL,20,7,7,49,29,29,11,20,18,3,devev
America,18,7,9,61,31,36,10,25,21,4,vdedv
Monterrey,17,8,9,58,42,32,22,26,20,5,vdvvd
UNAM,15,7,12,44,39,21,14,23,25,6,devde
Leon,12,12,10,45,44,20,14,25,30,7,devdd
Atletico,15,3,16,47,52,30,20,17,32,8,vvddv
Tijuana,14,6,14,53,60,35,32,18,28,9,vdvvv
Guadalajara,12,10,12,42,36,23,12,19,24,10,ddeve
Necaxa,13,7,14,56,55,31,25,25,30,11,vvdev
Pachuca,11,8,15,49,52,26,20,23,32,12,vvedv
Juarez,11,8,15,38,57,21,27,17,30,13,eeede
Atlas,9,13,12,42,55,23,25,19,30,14,dedve
Querétaro,9,5,20,30,55,17,22,13,33,15,devdv
Mazatlan,6,13,15,26,45,21,22,5,23,16,vdedd
Puebla,6,5,23,29,56,18,27,11,29,17,deddd
Santos,4,5,25,27,66,15,30,12,36,18,ddddd